,id,vagueQuestion,clearQuestion,clarifyingQuestion,clarification,answers
921,-5745718462107391224,What year is outlander season 3 set in?,"What year is outlander season 3, episode 5 set in for Roger?","Different parts of the season are set in different years. In parts of season 3, episode 1, Claire is in the present, and in some parts characters are in the past. Season 3, episode 5 is set in different times for Roger and for Claire in the past. Which part are you looking for?",Roger in episode five.,1968
922,-5745718462107391224,What year is outlander season 3 set in?,"What year is outlander season 3, episode 5 set in when Claire is in the past?","Different parts of the season are set in different years. In parts of season 3, episode 1, Claire is in the present, and in some parts characters are in the past. Season 3, episode 5 is set in different times for Roger and for Claire in the past. Which part are you looking for?",Claire in the past in episode five.,1765
923,-3276837314554268589,Do nz citizens need a visa for hong kong?,Do nz citizens need a visa for visiting hong kong for less than 90 days?,"Do you want to know if it is needed for a visit less than 90 days, or if it is required if you have an APEC Business Travel Card?",Less than 90 days.,Visa not required
924,-3276837314554268589,Do nz citizens need a visa for hong kong?,Do nz citizens need a visa for hong kong if they hold an APEC Business Travel Card (ABTC)?,"Do you want to know if it is needed for a visit less than 90 days, or if it is required if you have an APEC Business Travel Card?",For ABTC card holders.,do not require a visa
925,-1154238807322186506,Who has scored the most goals for chelsea?,Who has scored the most goals for Chelsea F.C. in total?,"Would you like to know who has scored the most goals for Chelsea F.C. in total, in one season, in one match, or in the FA Cup Finals in total?",In total,Frank Lampard
926,-1154238807322186506,Who has scored the most goals for chelsea?,Who has scored the most goals for Chelsea F.C. in one season?,"Would you like to know who has scored the most goals for Chelsea F.C. in total, in one season, in one match, or in the FA Cup Finals in total?",In one season,Jimmy Greaves
927,-1154238807322186506,Who has scored the most goals for chelsea?,Who has scored the most goals for Chelsea F.C. in one match?,"Would you like to know who has scored the most goals for Chelsea F.C. in total, in one season, in one match, or in the FA Cup Finals in total?",In one match,George Hilsdon
928,-1154238807322186506,Who has scored the most goals for chelsea?,Who has scored the most FA Cup Final goals for Chelsea F.C. in total?,"Would you like to know who has scored the most goals for Chelsea F.C. in total, in one season, in one match, or in the FA Cup Finals in total?",In FA Cup Finals in total,Didier Drogba
929,-3857791602197870808,Who becomes chief of police on the closer?,Who becomes the interim chief of police on the closer in season 7?,Do you mean who becomes the interim Chief of Police in season 7 or who beats out Brenda to become Chief of Police on The Closer?,who becomes the interim Chief of Police in season 7,Will Pope; Pope
930,-3857791602197870808,Who becomes chief of police on the closer?,"Who becomes chief of police on the closer, beating out Brenda?",Do you mean who becomes the interim Chief of Police in season 7 or who beats out Brenda to become Chief of Police on The Closer?,who beats out Brenda to become Chief of Police,"Thomas ""Tommy"" Delk; Delk"
931,7304359590063067942,When does the movie the thinning come out?,When does the movie The Thinning release?,Would you like to know when the movie The Thinning or The Thinning: New World Order comes out?,The Thinning,"October 12, 2016"
932,7304359590063067942,When does the movie the thinning come out?,When does the movie The Thinning: New World Order come out?,Would you like to know when the movie The Thinning or The Thinning: New World Order comes out?,The Thinning: New World Order,"October 17, 2018"
933,-2890293044247175459,Who sang back in the high life again?,Who sang lead vocals on back in the high life again?,Are you interested in lead or harmony vocals?,I'm interested in lead vocals.,Steve Winwood; Stephen Lawrence Winwood
934,-2890293044247175459,Who sang back in the high life again?,Who sang harmony vocals on back in the high life again?,Are you interested in lead or harmony vocals?,I'm interested in harmony vocals.,James Taylor; James Vernon Taylor
935,-5961953397065957869,When did lost in space air on tv?,When did the 1965 show lost in space first air on tv?,"Do you mean the original 1965 tv show , the 2018 tv show, the span of years it was on tv for either or a particular episode of lost in space?","September 15, 1965","September 15, 1965"
936,-5961953397065957869,When did lost in space air on tv?,Over what span did the 1965 show lost in space first air on tv?,"Do you mean the original 1965 tv show , the 2018 tv show, the span of years it was on tv for either or a particular episode of lost in space?",1965-1968,"September 15, 1965 – March 6, 1968"
937,-5961953397065957869,When did lost in space air on tv?,When did the 2018 show lost in space first air on tv?,"Do you mean the original 1965 tv show , the 2018 tv show, the span of years it was on tv for either or a particular episode of lost in space?","April 13, 2018","April 13, 2018"
938,-5961953397065957869,When did lost in space air on tv?,Over what span did the 2018 show lost in space first air on tv?,"Do you mean the original 1965 tv show , the 2018 tv show, the span of years it was on tv for either or a particular episode of lost in space?",2018-2021,"April 13, 2018 - December 24, 2019"
939,-5961953397065957869,When did lost in space air on tv?,When did the lost in space episode of American Dad air on tv?,"Do you mean the original 1965 tv show , the 2018 tv show, the span of years it was on tv for either or a particular episode of lost in space?","May 5, 2013","May 5, 2013"
940,5022116677214895173,When did there's nothing holdin me back come out?,When did there's nothing holdin me back single first come out?,"Would you like to know when the single, the music video, the US radio format, the NOTD remix worldwide digital download, or the acoustic digital download in France came out?",The single,"April 20, 2017"
941,5022116677214895173,When did there's nothing holdin me back come out?,When did the music video to there's nothing holdin me back come out?,"Would you like to know when the single, the music video, the US radio format, the NOTD remix worldwide digital download, or the acoustic digital download in France came out?",The music video,"June 20, 2017"
942,5022116677214895173,When did there's nothing holdin me back come out?,When did there's nothing holdin me back contemporary hit radio format come out in the US?,"Would you like to know when the single, the music video, the US radio format, the NOTD remix worldwide digital download, or the acoustic digital download in France came out?",The US radio format,"April 25, 2017"
943,5022116677214895173,When did there's nothing holdin me back come out?,When did there's nothing holdin me back NOTD Remix come out for digital download worldwide?,"Would you like to know when the single, the music video, the US radio format, the NOTD remix worldwide digital download, or the acoustic digital download in France came out?",The NOTD remix worldwide,"May 12, 2017"
944,5022116677214895173,When did there's nothing holdin me back come out?,When did there's nothing holdin me back come out for acoustic digital download in france?,"Would you like to know when the single, the music video, the US radio format, the NOTD remix worldwide digital download, or the acoustic digital download in France came out?",The acoustic digital download in France,"July 6, 2017"
